個人情報, こじんじょうほう, 个人信息
流出[する], りゅうしゅつ[する], 泄密、流失
新聞記事, しんぶんきじ, 报刊文章
社会面, しゃかいめん, (报纸)社会版
概要, がいよう, 概要
すばやい, , 迅速
事実[~関係], じじつ[~かんけい], 事实[~关系/事实关系]
不幸[な], ふこう[な], 不幸[的]
幸い, さいわい, 幸运
苦い[~体験], にがい[~たいけん], 苦涩、艰辛、痛苦[~体験/痛苦的经历]
慰める, なぐさめる, 安慰
~づける[元気~], [げんき~], 鼓励[元気~/鼓励]
カード[会員~], [かいいん~], 卡、卡片[会員~/会员卡]
漏れる, もれる, 泄漏
通信[する], つうしん[する], 通信
販売[する], はんばい[する], 销售
同社, どうしゃ, 该公司
加入[する], かにゅう[する], 参加、加入
可能性, かのうせい, 可能性
実態, じったい, 实际情况
氏名, しめい, 姓名
預金[~口座], よきん[~こうざ], 存款[~口座/存款帐户]
口座, こうざ, 账户
職業, しょくぎょう, 职业
生年月日, せいねんがっぴ, 出生年月日
項目, こうもく, 项、项目
及ぶ, およぶ, 涉及、达到
上旬, じょうじゅん, 上旬
覚え[身に~がない], おぼえ[みに~がない], 记忆、体验[身に~がない/不记得、没经历过]
未払い[金], みはらい[きん], 未支付[费用]
請求書, せいきゅうしょ, 请客、招待
請求[する], せいきゅう[する], 索取、请求
判明[する], はんめい[する], 弄清楚、了解清楚
同様[な], どうよう[な], 同样[的]
~件, ~けん, …… 件(如案件的件数)
寄せる, よせる, 寄来、发送过来
既に, すでに, 已经
応じる, おうじる, 应对
支払い, しはらい, 支付
情報管理, じょうほうかんり, 信息管理
管理[する], かんり[する], 管理
事態, じたい, 事态
遺憾, いかん, 遗憾
コンビューターシステム, , 计算机系统
システム, , 系统
トラブル, , 故障
内部, ないぶ, 内部
ないし, , 乃至、或者
引き出す, ひきだす, 提取、调取、抽出
流失, りゅうしつ, 流失
面[システム~], めん, 方面[系統~/系统方面]
進める[調査を~], すすめる[ちょうさを~], 推进、开展[調査を~/开展调査]
求める, もとめる, 要求、追求
おわび, , 道歉、致歉
書面, しょめん, 书面
更新[する], こうしん[する], 更新
早急[な], さっきゅう[な], 紧急[的]、火速[的]
講ずる, こうずる, 讲求、谋求(対策を~/谋求应对措施)
被害者, ひがいしゃ, 受害者
有料[~サイト], ゆうりょう, 收费[~サイト/收费网站]
サイト, , 网站
請求金額, せいきゅうきんがく, 应索取的金额
指定[する], してい[する], 指定
振り込む, ふりこむ, 汇款(到银行账户)
だます, , 欺骗
不審[に], ふしん[に], 可疑、令人怀疑
懸命[な], けんめい[な], 拼命[的]
何者, なにもの, 何人
犯行, はんこう, 犯罪行为
知人, ちじん, 熟人
日付, ひづけ, 日期
タウンニュース, , 城市新闻
要素, ようそ, 因素、要素
原稿, げんこう, 文稿、原稿
見出し, みだし, (报刊的)大标题
滑らす, すべらす, (脚)踩空、脚下打滑
捻挫[する], ねんざ[する], 扭伤、拧伤
後悔[する], こうかい[する], 后悔
落ち込む, おちこむ, 消沉、灰心丧气
転倒[する], てんとう[する], 摔倒
言い表す, いいあらわす, 语言表达
励ます, はげます, 鼓励
ハンドル, , (自行车、摩托车的)手把、汽车方向盘
切り損ねる, きりそこねる, (摩托车)调转方向失败
ひっくり返る, ひっくりかえる, 摔倒、摔翻
人身事故, じんしんじこ, 人身伤亡事件
起こす[事故を~], おこす[じこを~], 引起[事故を~/肇事、引起交通事故]
危うく, あやうく, 险些、差一点儿
左折[する], させつ[する], 左转弯
飛び出す, とびだす, 突然冲出来
切る[ハンドルを~], きる, 转动[ハンドルを~/打方向盘]
スリップ[する], , (轮胎)打滑
ひざ, , 膝盖
ライト, , 车灯
カバー, , (摩托车的灯)罩
はねる[人を~], [ひとを~], 撞上、碰撞[人を~/撞上人]
頭[が]痛い, あたま[が]いたい, 伤脑筋、烦心
くよくよ[する], , 闷闷不乐
おごる, , 请客、招待
締切[日], しめきり[び], 截止[日期]
よそ見, よそみ, 东张西望
右手, みぎて, 右手
離す[目を~], はなす[めを~], 离开[目を~/移开视线]
誤る, あやまる, 弄错、犯错
